num_passengers,sales_channel,trip_type,purchase_lead,length_of_stay,flight_hour,flight_day,route,booking_origin,wants_extra_baggage,wants_preferred_seat,wants_in_flight_meals,flight_duration,booking_complete
1,Internet,RoundTrip,72,21,4,6,CMBMEL,Australia,1,1,0,8.83,0
1,Internet,RoundTrip,32,34,5,4,KTMPEN,Malaysia,1,0,0,4.75,0
1,Internet,RoundTrip,52,5,3,1,AKLKUL,Vietnam,1,0,0,8.83,1
1,Internet,RoundTrip,37,6,13,2,HKGSYD,Australia,1,0,1,8.58,0
1,Internet,RoundTrip,25,119,5,1,RGNSYD,Australia,1,1,1,8.58,0
3,Internet,RoundTrip,65,17,11,2,PERPUS,Australia,1,1,1,6.33,0
1,Internet,RoundTrip,70,20,20,3,AKLKUL,New Zealand,1,0,0,8.83,0
1,Internet,RoundTrip,24,44,7,6,AKLKUL,New Zealand,1,0,1,8.83,0
3,Internet,RoundTrip,103,3,12,7,KIXPEN,Japan,0,0,0,7.0,0
1,Internet,RoundTrip,90,29,12,6,MAAMEL,Australia,0,0,1,8.83,0
1,Internet,RoundTrip,3,35,6,2,AKLKUL,New Zealand,1,0,0,8.83,0
2,Internet,RoundTrip,22,6,4,2,HKGSYD,Singapore,1,0,0,8.58,0
3,Internet,RoundTrip,206,23,6,6,IKAPER,Australia,1,1,1,8.15,0
4,Internet,RoundTrip,103,18,11,4,HKTOOL,Australia,1,0,0,8.83,0
1,Internet,RoundTrip,214,45,8,7,CCUSYD,Australia,1,1,1,8.58,0
1,Internet,RoundTrip,110,21,7,6,COKSYD,Australia,1,1,1,8.58,0
1,Internet,RoundTrip,49,45,10,1,JOGTPE,Taiwan,1,1,0,4.67,0
1,Mobile,RoundTrip,49,4,7,7,HKTKIX,Japan,0,0,0,7.0,0
2,Mobile,RoundTrip,75,4,8,2,OOLPEN,Malaysia,1,0,0,8.83,0
2,Internet,RoundTrip,60,6,8,4,CNXSYD,Australia,1,1,1,8.58,0
1,Internet,RoundTrip,7,30,13,4,PERRGN,Australia,1,0,0,5.62,0
1,Mobile,RoundTrip,31,39,3,4,LGKPUS,South Korea,1,1,0,6.33,0
2,Internet,RoundTrip,34,4,2,3,JHBTPE,Malaysia,1,1,1,4.67,0
1,Internet,RoundTrip,4,3,7,3,CTUPER,Australia,0,1,0,5.62,0
1,Internet,RoundTrip,43,4,12,5,DPSPVG,Indonesia,1,1,1,5.33,0
1,Internet,RoundTrip,8,3,8,6,PVGSIN,Singapore,1,0,1,5.33,0
1,Internet,RoundTrip,258,6,10,2,ICNPER,Australia,1,1,0,6.62,0
1,Internet,RoundTrip,7,4,6,4,KBVTPE,Taiwan,0,0,0,4.67,0
4,Internet,RoundTrip,300,6,6,4,HKTPVG,China,1,0,1,5.33,0
1,Internet,RoundTrip,4,4,13,7,HGHPEN,Malaysia,0,0,1,5.07,0
1,Mobile,RoundTrip,23,5,13,4,PEKPEN,Malaysia,1,0,0,6.42,1
1,Internet,RoundTrip,16,3,11,4,ICNKNO,South Korea,1,0,1,6.62,0
1,Internet,RoundTrip,56,40,8,5,CMBPEK,China,1,1,1,6.42,1
1,Internet,RoundTrip,69,6,14,7,HKTHND,Japan,0,0,0,7.57,0
1,Internet,RoundTrip,35,18,6,7,MAATPE,Taiwan,1,1,1,4.67,0
1,Internet,RoundTrip,142,23,5,5,CGKIKA,United Arab Emirates,0,0,0,8.15,0
1,Internet,RoundTrip,16,28,12,3,DELKNO,United States,0,0,0,5.52,0
1,Internet,RoundTrip,25,22,7,3,DELMEL,Australia,1,0,1,8.83,0
1,Mobile,RoundTrip,7,83,13,7,HNDSUB,Japan,1,1,1,7.57,1
1,Internet,RoundTrip,30,6,16,2,ICNKCH,Malaysia,0,0,0,6.62,0
2,Internet,RoundTrip,13,21,15,3,PEKTWU,United States,0,0,0,6.42,0
1,Internet,RoundTrip,70,19,10,1,CMBMEL,Australia,1,0,0,8.83,0
1,Internet,RoundTrip,46,70,2,3,KTMPEN,Malaysia,1,0,0,4.75,1
1,Internet,RoundTrip,169,86,2,4,BKISYD,Malaysia,1,1,0,8.58,0
1,Internet,RoundTrip,3,4,1,1,OOLPEN,Singapore,1,0,0,8.83,0
1,Internet,RoundTrip,383,17,6,4,CANPER,Australia,1,1,0,5.62,0
1,Internet,RoundTrip,137,30,9,1,COKOOL,Australia,1,1,1,8.83,0
2,Internet,RoundTrip,74,28,15,3,PERSGN,Australia,1,0,0,5.62,0
1,Internet,RoundTrip,120,5,15,6,DPSKIX,Japan,1,0,1,7.0,0
2,Internet,RoundTrip,340,6,4,3,DPSICN,South Korea,0,0,0,6.62,0
2,Internet,RoundTrip,8,18,14,2,MELPEN,Australia,1,0,0,8.83,0
1,Mobile,RoundTrip,39,31,16,3,MELTPE,Taiwan,1,1,1,8.83,0
2,Internet,RoundTrip,181,17,8,1,DPSPEK,China,1,1,0,6.42,0
6,Mobile,RoundTrip,367,6,4,3,DPSPVG,China,1,0,0,5.33,0
2,Internet,RoundTrip,197,18,21,6,CEBOOL,Australia,1,0,0,8.83,0
1,Internet,RoundTrip,9,36,2,2,KTMMFM,Macau,1,0,1,4.75,0
9,Internet,RoundTrip,44,5,9,1,LGKXIY,Italy,1,0,0,5.0,0
1,Internet,RoundTrip,23,34,12,2,PERTPE,Australia,1,1,1,5.62,0
1,Mobile,RoundTrip,317,5,1,1,PERSIN,Singapore,0,1,0,5.62,0
2,Mobile,RoundTrip,151,28,23,7,CMBMEL,Australia,1,1,1,8.83,0
1,Internet,RoundTrip,113,23,3,6,DMKPER,Australia,1,0,0,5.62,0
1,Internet,RoundTrip,88,22,13,5,CMBSYD,Australia,1,1,1,8.58,0
2,Internet,RoundTrip,283,50,5,1,COKPER,Australia,1,1,1,5.62,0
2,Internet,RoundTrip,6,2,8,5,HKTSYD,Australia,0,0,1,8.58,0
5,Internet,RoundTrip,69,4,10,6,CGKKIX,Japan,1,1,0,7.0,1
1,Internet,RoundTrip,40,18,2,3,ICNSYD,Australia,1,0,1,8.58,0
1,Internet,RoundTrip,56,5,8,5,DPSPVG,China,1,0,0,5.33,0
2,Internet,RoundTrip,144,5,6,3,ICNSIN,South Korea,1,0,0,6.62,0
2,Internet,RoundTrip,92,69,7,2,SGNSYD,Vietnam,1,0,0,8.58,0
2,Internet,RoundTrip,98,17,0,7,COKPER,Australia,1,0,0,5.62,0
2,Internet,RoundTrip,33,6,12,3,DELURT,Thailand,0,0,0,5.52,0
1,Internet,RoundTrip,62,27,4,2,PEKSBW,Malaysia,1,0,0,6.42,0
1,Mobile,RoundTrip,50,19,16,4,CMBSYD,Sri Lanka,0,0,0,8.58,0
1,Internet,RoundTrip,45,28,2,7,BWNOOL,Australia,1,0,0,8.83,0
1,Mobile,RoundTrip,29,6,9,1,PEKTWU,China,0,0,1,6.42,0
2,Internet,RoundTrip,63,6,2,5,ICNKBV,South Korea,1,0,0,6.62,0
1,Internet,RoundTrip,53,21,8,1,COKMEL,India,1,0,1,8.83,0
1,Internet,RoundTrip,18,3,6,3,ICNSIN,South Korea,0,0,0,6.62,0
1,Internet,RoundTrip,12,74,9,3,JHBKTM,Malaysia,1,0,0,4.75,0
1,Internet,RoundTrip,161,108,2,4,AKLKUL,New Zealand,1,1,0,8.83,0
1,Internet,RoundTrip,6,17,2,2,DMKMEL,Australia,0,0,1,8.83,0
1,Internet,RoundTrip,52,6,15,6,COKTPE,Taiwan,0,0,1,4.67,0
2,Internet,RoundTrip,65,4,4,1,SGNSYD,Australia,0,0,0,8.58,0
1,Internet,RoundTrip,21,58,5,3,JHBKTM,Malaysia,1,0,0,4.75,0
1,Internet,RoundTrip,18,24,23,2,CMBMEL,Australia,0,0,0,8.83,0
2,Internet,RoundTrip,93,66,8,7,DELPER,Australia,1,0,1,5.62,0
2,Internet,RoundTrip,8,31,8,1,ICNPER,Australia,1,0,0,6.62,0
1,Internet,RoundTrip,35,56,7,5,KTMPEN,Malaysia,1,0,0,4.75,1
2,Internet,RoundTrip,47,25,3,4,SGNSYD,Australia,0,0,0,8.58,0
2,Mobile,RoundTrip,52,17,12,1,DELPER,Australia,0,0,0,5.62,0
1,Internet,RoundTrip,127,6,16,2,MELTPE,Taiwan,1,1,1,8.83,0
1,Internet,RoundTrip,7,81,5,6,BKIICN,Australia,1,0,1,6.62,0
1,Internet,RoundTrip,11,1,2,6,KIXPER,Japan,0,0,0,7.0,0
1,Internet,RoundTrip,140,17,6,6,CEBMEL,Australia,1,0,0,8.83,0
2,Internet,RoundTrip,142,18,3,5,HKTMEL,United States,1,1,0,8.83,0
9,Internet,RoundTrip,141,6,6,2,DMKPEK,China,1,0,0,6.42,1
1,Internet,RoundTrip,22,4,2,3,SUBTPE,Indonesia,0,0,0,4.67,0
1,Internet,RoundTrip,7,91,2,3,JHBKTM,Malaysia,1,0,0,4.75,1
1,Internet,RoundTrip,28,58,11,2,PERPNH,Australia,1,0,0,5.62,0
1,Internet,RoundTrip,64,31,14,3,DMKSYD,Australia,1,0,1,8.58,0
2,Internet,RoundTrip,18,37,13,4,MELTPE,Australia,1,0,1,8.83,0
4,Mobile,RoundTrip,188,5,22,1,HNDLGK,Japan,1,1,1,7.57,0
1,Internet,RoundTrip,8,30,2,2,AKLKUL,New Zealand,1,0,0,8.83,0
2,Internet,RoundTrip,15,4,16,4,CTSDPS,Japan,1,0,0,8.67,0
2,Internet,RoundTrip,110,6,0,2,ICNLGK,South Korea,1,0,0,6.62,1
2,Internet,RoundTrip,81,5,10,6,DMKOOL,Australia,0,0,0,8.83,0
1,Internet,RoundTrip,21,5,3,5,CGKHND,Indonesia,1,0,1,7.57,0
1,Internet,RoundTrip,31,4,3,2,PENPVG,China,0,0,0,5.33,0
2,Internet,RoundTrip,35,6,14,6,HGHSUB,Indonesia,1,1,0,5.07,0
1,Internet,RoundTrip,55,143,5,6,AKLKUL,Malaysia,1,0,0,8.83,0
1,Internet,RoundTrip,94,58,7,1,MELSUB,Australia,1,1,1,8.83,1
1,Internet,RoundTrip,33,21,7,7,COKPER,Australia,1,0,1,5.62,0
1,Internet,RoundTrip,1,23,7,3,DMKPER,Australia,0,0,1,5.62,0
2,Mobile,RoundTrip,74,19,9,6,AKLKUL,Malaysia,0,0,0,8.83,0
1,Internet,RoundTrip,99,17,10,6,PERPUS,Australia,1,0,1,6.33,0
1,Internet,RoundTrip,12,17,7,4,CMBPER,Australia,1,1,1,5.62,0
1,Internet,RoundTrip,13,2,14,6,KIXPEN,Malaysia,1,0,1,7.0,0
1,Mobile,RoundTrip,35,4,15,4,DMKKIX,Thailand,1,1,1,7.0,0
1,Mobile,RoundTrip,12,6,7,5,DPSIKA,Malaysia,1,1,1,8.15,0
1,Internet,RoundTrip,13,5,4,5,MELPEN,Australia,1,1,1,8.83,1
3,Internet,RoundTrip,105,21,8,3,MELSGN,Australia,1,1,1,8.83,0
1,Internet,RoundTrip,27,5,3,2,BKIMEL,Malaysia,0,0,0,8.83,0
1,Internet,RoundTrip,41,4,11,5,PEKPEN,Japan,0,0,0,6.42,0
1,Internet,RoundTrip,64,17,21,5,MELPNH,Australia,1,1,0,8.83,0
1,Internet,RoundTrip,80,20,11,4,CGKOOL,Australia,1,0,0,8.83,0
1,Internet,RoundTrip,6,4,11,2,HKTPVG,Indonesia,0,0,0,5.33,1
2,Internet,RoundTrip,75,30,3,1,CNXPER,Australia,0,1,1,5.62,0
4,Internet,RoundTrip,94,17,16,2,AKLKUL,New Zealand,1,0,0,8.83,0
1,Internet,RoundTrip,60,210,0,3,MELURT,Australia,1,1,0,8.83,0
1,Internet,RoundTrip,8,72,9,4,KTMPEN,Malaysia,1,0,0,4.75,0
2,Internet,RoundTrip,44,4,12,4,ICNSIN,South Korea,1,0,0,6.62,0
1,Internet,RoundTrip,57,28,1,5,AKLKUL,New Zealand,1,0,1,8.83,0
1,Internet,RoundTrip,4,1,23,7,KCHOOL,Australia,0,1,0,8.83,0
1,Internet,RoundTrip,139,5,4,2,CGKTPE,Indonesia,1,1,1,4.67,1
1,Internet,RoundTrip,100,26,17,4,MELRGN,Australia,1,1,1,8.83,1
1,Internet,RoundTrip,131,22,6,2,CMBPER,Australia,0,1,0,5.62,0
6,Internet,RoundTrip,99,4,14,1,PENTPE,Malaysia,1,0,0,4.67,1
2,Internet,RoundTrip,167,6,6,1,CGKTPE,Indonesia,1,0,0,4.67,0
2,Internet,RoundTrip,140,6,16,7,BKIPER,Malaysia,1,0,0,5.62,0
1,Internet,RoundTrip,82,6,11,2,KIXREP,Japan,0,0,0,7.0,0
2,Internet,RoundTrip,52,20,11,4,CMBSYD,Australia,1,0,1,8.58,0
2,Internet,RoundTrip,9,4,4,3,PNKTPE,Indonesia,0,0,0,4.67,0
1,Internet,RoundTrip,150,18,11,7,IKAMNL,Philippines,0,0,0,8.15,0
1,Internet,RoundTrip,5,140,5,2,PUSTRZ,South Korea,1,1,1,6.33,0
2,Mobile,RoundTrip,16,21,14,1,DELMNL,Philippines,1,0,0,5.52,0
1,Internet,RoundTrip,165,4,8,1,KCHKIX,Malaysia,1,1,1,7.0,1
3,Internet,RoundTrip,7,3,8,4,COKMEL,Australia,0,0,1,8.83,0
1,Internet,RoundTrip,55,60,7,4,CTUMEL,China,1,0,0,8.83,0
1,Internet,RoundTrip,21,25,14,5,PERTPE,Australia,1,0,0,5.62,1
4,Internet,RoundTrip,308,4,5,3,HKTICN,South Korea,1,0,1,6.62,0
2,Mobile,RoundTrip,91,5,8,5,PENSYD,Australia,0,0,1,8.58,0
2,Internet,RoundTrip,66,19,6,7,CMBSYD,Australia,1,1,0,8.58,0
1,Internet,RoundTrip,35,6,5,3,CTSDPS,Japan,0,1,1,8.67,0
3,Mobile,RoundTrip,148,5,0,5,MLETPE,Taiwan,1,1,1,4.67,0
1,Internet,RoundTrip,124,6,5,2,BKIKIX,Japan,0,0,1,7.0,1
1,Internet,RoundTrip,43,25,5,2,ICNSYD,Australia,1,1,1,8.58,0
1,Internet,RoundTrip,9,20,7,3,HGHJOG,United States,1,1,1,5.07,1
1,Internet,RoundTrip,198,25,7,1,IKAMEL,Australia,1,0,0,8.83,0
1,Internet,RoundTrip,42,4,12,3,DADSYD,Australia,0,1,1,8.58,0
1,Internet,RoundTrip,23,21,14,4,KIXTRZ,India,1,0,1,7.0,0
1,Internet,OneWay,40,6,2,7,DPSPUS,South Korea,0,0,0,6.33,0
1,Mobile,RoundTrip,70,5,15,7,CGKHND,Indonesia,1,1,1,7.57,1
2,Internet,RoundTrip,323,6,10,2,LGKPER,Australia,1,0,0,5.62,0
1,Internet,RoundTrip,12,6,12,7,MELPNH,Australia,0,0,1,8.83,0
1,Internet,RoundTrip,9,4,2,5,HNDSIN,Singapore,1,0,0,7.57,0
3,Internet,RoundTrip,344,5,12,1,SBWSYD,Malaysia,1,1,0,8.58,0
5,Internet,RoundTrip,199,22,0,7,KLOMEL,Australia,1,1,1,8.83,0
1,Internet,RoundTrip,28,5,1,2,HKTSYD,Australia,0,1,0,8.58,0
1,Internet,RoundTrip,13,61,7,4,JHBKTM,Malaysia,1,0,0,4.75,1
2,Internet,RoundTrip,165,4,14,1,HKTICN,South Korea,0,1,1,6.62,0
2,Internet,RoundTrip,287,26,20,7,DMKSYD,Australia,1,1,1,8.58,0
2,Internet,RoundTrip,17,6,17,1,HGHPEN,Malaysia,1,0,1,5.07,0
1,Internet,RoundTrip,42,23,9,3,JOGMEL,Australia,1,0,0,8.83,0
3,Internet,RoundTrip,265,6,4,6,DMKHND,Thailand,1,0,0,7.57,0
1,Internet,RoundTrip,55,29,0,3,DMKPER,Australia,0,0,0,5.62,0
1,Mobile,RoundTrip,59,76,9,7,HNDPEN,Malaysia,1,0,1,7.57,0
2,Internet,RoundTrip,11,78,22,1,HANPER,Vietnam,1,1,1,5.62,1
1,Internet,RoundTrip,44,26,8,2,HKGMEL,Australia,1,0,0,8.83,0
1,Internet,RoundTrip,5,4,23,3,HYDMEL,Australia,1,0,1,8.83,0
1,Mobile,RoundTrip,6,5,8,4,LGKTPE,Taiwan,0,0,0,4.67,0
1,Internet,RoundTrip,1,5,10,1,DELMEL,Australia,0,0,0,8.83,0
2,Internet,RoundTrip,53,42,2,2,CCUMEL,Australia,1,0,0,8.83,0
2,Internet,RoundTrip,0,5,14,3,JHBMEL,Malaysia,0,1,0,8.83,1
1,Internet,RoundTrip,17,47,5,4,ICNOOL,Australia,1,0,0,8.83,0
1,Internet,RoundTrip,30,4,2,4,CTSSIN,Japan,1,0,0,8.67,1
2,Mobile,RoundTrip,7,6,8,7,MELPEN,Malaysia,1,1,1,8.83,1
1,Internet,RoundTrip,5,35,5,7,KTMMFM,Macau,0,0,0,4.75,1
2,Internet,RoundTrip,213,5,9,6,CGKICN,Indonesia,1,1,1,6.62,1
1,Internet,RoundTrip,22,4,14,2,PERTPE,Australia,0,0,0,5.62,1
2,Internet,RoundTrip,206,31,0,1,MELSGN,Australia,1,0,0,8.83,0
2,Internet,RoundTrip,35,27,6,3,DMKPER,Thailand,1,0,1,5.62,1
2,Internet,RoundTrip,19,5,5,7,DPSPVG,China,1,0,0,5.33,0
2,Internet,RoundTrip,223,6,17,1,DPSICN,South Korea,1,0,0,6.62,0
1,Internet,RoundTrip,14,51,6,2,JHBKTM,Malaysia,1,0,0,4.75,0
2,Internet,RoundTrip,52,5,8,2,DELMNL,Philippines,1,0,0,5.52,0
2,Internet,RoundTrip,38,19,12,4,KBVMEL,Australia,1,1,0,8.83,0
1,Internet,RoundTrip,53,32,3,4,CTUMEL,Australia,1,1,1,8.83,0
4,Internet,RoundTrip,264,5,15,5,PENTPE,Malaysia,0,0,0,4.67,0
1,Internet,RoundTrip,168,6,9,3,MELPEN,Australia,0,1,1,8.83,0
2,Internet,RoundTrip,35,49,4,7,DELSYD,Australia,1,0,1,8.58,0
1,Internet,RoundTrip,92,26,2,2,HYDSYD,Australia,1,0,0,8.58,0
1,Internet,RoundTrip,118,19,14,3,MELPNH,Australia,1,0,0,8.83,0
1,Internet,OneWay,12,1,19,3,AKLKUL,New Zealand,1,0,0,8.83,0
1,Internet,RoundTrip,108,236,11,3,CCUMEL,Australia,1,0,0,8.83,0
1,Mobile,RoundTrip,14,18,2,3,DPSSYD,Australia,0,0,0,8.58,0
1,Internet,RoundTrip,40,4,6,1,BKIHND,Japan,0,1,0,7.57,0
1,Mobile,RoundTrip,8,5,2,2,JOGTPE,Taiwan,0,0,0,4.67,0
1,Internet,RoundTrip,4,85,6,6,HYDMEL,India,1,1,1,8.83,0
1,Internet,RoundTrip,109,4,16,5,DMKKIX,Thailand,1,0,0,7.0,0
1,Internet,RoundTrip,23,83,5,5,CMBMEL,Australia,0,0,1,8.83,0
1,Internet,RoundTrip,31,81,9,6,MELTRZ,Australia,1,1,1,8.83,0
2,Mobile,RoundTrip,29,6,6,4,DPSPVG,China,1,1,1,5.33,0
1,Mobile,RoundTrip,53,4,14,5,DPSKIX,Indonesia,1,0,1,7.0,0
2,Internet,RoundTrip,149,3,1,1,CGKICN,South Korea,0,1,1,6.62,0
1,Internet,RoundTrip,16,17,6,4,CGKJED,Indonesia,0,0,1,9.5,0
1,Internet,RoundTrip,73,22,9,2,CNXSYD,Australia,1,1,1,8.58,0
1,Internet,RoundTrip,71,19,11,4,KTMMFM,Macau,1,0,0,4.75,0
2,Internet,RoundTrip,7,5,4,1,KIXLOP,Japan,0,0,1,7.0,0
4,Internet,RoundTrip,75,6,8,5,DPSHND,Japan,1,1,1,7.57,0
1,Internet,RoundTrip,49,4,11,1,AKLKUL,Malaysia,0,0,0,8.83,1
1,Internet,RoundTrip,46,3,13,3,ICNSIN,Japan,0,0,0,6.62,0
1,Internet,RoundTrip,14,6,1,4,MAASYD,Australia,1,0,1,8.58,0
1,Internet,RoundTrip,81,4,13,1,DPSKIX,Japan,1,1,1,7.0,0
3,Internet,RoundTrip,266,6,13,1,HKTPER,Australia,1,1,0,5.62,0
1,Internet,RoundTrip,0,5,0,1,MELTPE,Taiwan,1,0,1,8.83,0
1,Internet,RoundTrip,37,5,8,3,MELSGN,Australia,0,1,0,8.83,0
2,Internet,RoundTrip,13,89,1,3,JHBPUS,Singapore,1,0,0,6.33,1
1,Internet,RoundTrip,30,6,13,2,HNDPEN,United Arab Emirates,0,0,1,7.57,0
1,Mobile,RoundTrip,53,48,10,2,CTUMAA,India,1,0,1,4.72,0
2,Internet,RoundTrip,258,5,15,4,CGKHND,Indonesia,0,0,1,7.57,0
4,Internet,RoundTrip,291,5,6,4,HKTICN,South Korea,1,1,0,6.62,0
2,Internet,RoundTrip,9,18,4,2,JHBWUH,Singapore,0,0,0,5.13,0
1,Internet,RoundTrip,70,18,12,1,JHBMEL,Australia,1,0,0,8.83,0
1,Internet,RoundTrip,99,17,10,7,CMBSYD,Australia,1,1,1,8.58,0
1,Internet,RoundTrip,9,2,7,2,ICNPEN,South Korea,0,0,0,6.62,0
1,Internet,RoundTrip,18,68,3,3,KCHMEL,Malaysia,1,1,1,8.83,0
1,Mobile,RoundTrip,15,6,12,7,MELPEN,Malaysia,1,0,0,8.83,1
1,Internet,RoundTrip,30,5,8,2,SYDSZX,China,0,0,0,8.58,0
1,Internet,RoundTrip,11,54,11,3,CTSDPS,Indonesia,0,0,0,8.67,0
1,Mobile,RoundTrip,174,19,6,4,DMKPER,Australia,1,1,0,5.62,0
1,Internet,RoundTrip,6,4,23,2,PEKSIN,Singapore,0,0,0,6.42,0
1,Internet,RoundTrip,200,5,7,6,KIXPEN,Malaysia,0,0,1,7.0,0
1,Mobile,RoundTrip,129,6,10,4,CKGDPS,China,0,0,0,4.83,0
2,Mobile,RoundTrip,47,6,4,7,HKTPVG,China,1,0,0,5.33,0
2,Internet,RoundTrip,95,21,10,1,DMKOOL,Australia,1,0,1,8.83,0
1,Internet,RoundTrip,155,6,1,1,JHBKIX,Singapore,1,0,0,7.0,1
1,Internet,RoundTrip,26,21,6,3,COKMEL,Australia,1,1,1,8.83,0
2,Internet,RoundTrip,353,5,4,1,CGKICN,Indonesia,0,0,1,6.62,1
1,Mobile,RoundTrip,18,145,8,2,MELPVG,China,0,0,1,8.83,0
1,Internet,RoundTrip,0,33,8,5,PERSGN,Australia,1,1,1,5.62,0
1,Internet,RoundTrip,146,32,0,6,HKTOOL,Australia,0,0,0,8.83,0
2,Internet,RoundTrip,226,79,17,7,PENSYD,Malaysia,1,1,0,8.58,1
2,Mobile,RoundTrip,45,3,15,6,AKLKUL,Malaysia,1,0,0,8.83,0
1,Internet,RoundTrip,7,21,10,6,BWNCKG,Brunei,1,0,0,4.83,0
1,Mobile,RoundTrip,297,6,10,7,CGKSYD,Indonesia,0,0,0,8.58,0
1,Internet,RoundTrip,77,26,2,4,HKTTPE,Taiwan,1,1,1,4.67,0
2,Internet,RoundTrip,29,5,17,7,AKLKUL,Malaysia,1,0,1,8.83,1
2,Internet,OneWay,266,19,3,4,HNDPER,Australia,1,1,0,7.57,0
1,Internet,RoundTrip,80,37,1,2,ICNPER,South Korea,1,0,0,6.62,0
1,Internet,RoundTrip,57,48,15,1,DACMEL,Australia,1,1,1,8.83,0
2,Internet,RoundTrip,274,19,2,2,CGKPVG,Indonesia,1,0,0,5.33,0
2,Internet,RoundTrip,1,4,13,4,BWNTPE,Taiwan,1,0,1,4.67,0
3,Internet,RoundTrip,172,6,23,5,DADMEL,Australia,1,1,1,8.83,0
1,Internet,RoundTrip,9,4,2,5,KBVSYD,Thailand,0,0,1,8.58,0
3,Internet,RoundTrip,217,5,13,5,ICNSIN,Singapore,1,0,0,6.62,1
1,Internet,RoundTrip,37,51,5,5,HANOOL,Australia,1,1,1,8.83,0
1,Internet,RoundTrip,3,17,15,1,IKASIN,Singapore,1,1,1,8.15,0
1,Internet,RoundTrip,126,85,7,3,DMKOOL,Thailand,0,0,0,8.83,0
1,Internet,RoundTrip,34,24,5,5,AKLKUL,New Zealand,1,0,0,8.83,0
1,Internet,RoundTrip,13,31,7,3,BKIPUS,Malaysia,1,1,1,6.33,1
2,Internet,RoundTrip,380,5,14,5,CTSPEN,Malaysia,1,1,1,8.67,0
1,Internet,RoundTrip,109,26,2,4,PENXIY,Malaysia,1,0,0,5.0,0
1,Internet,RoundTrip,43,23,23,6,MELTRZ,Australia,1,0,1,8.83,0
1,Internet,RoundTrip,12,6,8,2,KNOTPE,Taiwan,1,0,0,4.67,0
1,Internet,RoundTrip,1,3,0,4,DMKOOL,Australia,0,1,1,8.83,0
3,Internet,RoundTrip,104,26,11,5,COKMEL,Australia,0,0,0,8.83,0
2,Internet,RoundTrip,69,6,4,3,HKTSYD,Australia,1,0,0,8.58,0
1,Internet,RoundTrip,67,6,6,5,PENSYD,Australia,0,0,1,8.58,0
2,Internet,RoundTrip,109,22,5,5,COKPER,Australia,1,1,1,5.62,0
1,Internet,RoundTrip,33,5,10,2,DMKMEL,United States,0,0,0,8.83,0
1,Internet,RoundTrip,20,6,16,4,HKTICN,South Korea,0,0,0,6.62,0
1,Internet,RoundTrip,196,18,12,4,PVGSYD,Australia,1,1,1,8.58,0
1,Internet,RoundTrip,66,18,15,2,DMKOOL,Thailand,0,0,0,8.83,1
1,Internet,RoundTrip,49,6,11,5,MELTPE,Taiwan,1,1,1,8.83,0
1,Internet,RoundTrip,21,29,5,1,IKAOOL,Australia,1,1,1,8.83,0
4,Internet,RoundTrip,14,5,8,7,HKTPEK,China,1,1,1,6.42,0
1,Internet,RoundTrip,100,4,7,1,CGKTPE,Japan,0,0,0,4.67,0
2,Internet,RoundTrip,132,44,5,7,MELPEN,Singapore,1,0,1,8.83,0
3,Internet,RoundTrip,8,5,9,2,TGGTPE,Taiwan,1,0,1,4.67,1
1,Mobile,RoundTrip,1,6,22,3,CMBMEL,Australia,0,0,1,8.83,0
2,Internet,RoundTrip,247,6,16,7,DMKKIX,Thailand,1,1,0,7.0,0
1,Internet,RoundTrip,42,3,5,5,ICNSIN,South Korea,0,0,0,6.62,0
4,Internet,RoundTrip,199,19,11,1,IKASYD,Australia,1,1,0,8.58,0
1,Internet,RoundTrip,46,31,3,7,PEKSYD,United States,1,0,0,8.58,1
1,Internet,RoundTrip,19,5,11,4,PERSGN,Australia,0,0,1,5.62,0
2,Internet,RoundTrip,184,5,15,2,AKLKUL,Malaysia,1,0,0,8.83,0
1,Mobile,RoundTrip,289,6,7,4,DPSHND,Japan,0,1,0,7.57,0
1,Internet,RoundTrip,343,51,4,1,DPSHND,Japan,0,0,0,7.57,0
1,Internet,OneWay,51,5,12,1,ICNOOL,South Korea,1,0,1,8.83,0
1,Internet,RoundTrip,28,19,12,5,PUSTRZ,South Korea,1,1,1,6.33,0
2,Mobile,RoundTrip,167,4,11,6,DELHND,India,0,0,0,7.57,0
1,Internet,RoundTrip,8,4,7,4,ICNKNO,South Korea,0,0,0,6.62,0
1,Internet,RoundTrip,8,2,8,2,DMKOOL,Indonesia,0,1,1,8.83,0
2,Internet,RoundTrip,117,5,2,5,ICNPEN,South Korea,1,1,1,6.62,1
2,Internet,RoundTrip,72,6,8,2,CTUDPS,China,1,0,0,4.72,0
4,Internet,CircleTrip,16,5,15,5,CTSSIN,Singapore,1,0,0,8.67,0
1,Internet,RoundTrip,60,29,10,2,CANPER,Australia,0,0,1,5.62,0
1,Internet,RoundTrip,7,3,10,5,OOLSIN,Australia,0,0,0,8.83,0
3,Internet,RoundTrip,171,5,6,4,ICNSBW,Malaysia,1,1,1,6.62,0
2,Internet,OneWay,27,29,17,1,ICNMEL,Australia,1,0,1,8.83,0
1,Internet,RoundTrip,18,3,2,7,DMKPER,Thailand,0,1,0,5.62,0
1,Internet,RoundTrip,37,34,9,2,MFMPER,Australia,0,0,0,5.62,0
1,Internet,RoundTrip,27,6,4,5,LGKOOL,Australia,0,0,0,8.83,0
